meter id,ResStock_ids,cvrmses,cvrmses_month,percent_errs_cooling,percent_errs_heating,peak_htg_hr_diffs,peak_clg_hr_diffs,costs
6000984726,[],[],[],[],[],[],[],[]
6000984768,[],[],[],[],[],[],[],[]
6000984784,[],[],[],[],[],[],[],[]
6000984855,[240439],[0.9682047389410475],[0.24847580901775052],[0.012317751628130898],[0.001124649486382797],[2.0],[4.0],[0.0029934765259166905]
6000984885,[],[],[],[],[],[],[],[]
6000984893,[],[],[],[],[],[],[],[]
6000984898,[417947],[0.5405201425914113],[0.18662454309833257],[0.36600468641491085],[0.1679987549103738],[2.0],[4.0],[0.006796218565382163]
6000988176,[414453],[0.7677899446933912],[0.1879379270335772],[0.09609834709049463],[0.04124123730808076],[0.0],[1.0],[0.007531475741867506]
6000988203,[212637],[1.1982200541986547],[0.25907523975416824],[0.0059258020710440335],[0.011282386599755043],[2.0],[0.0],[0.0038076927003426286]
6000989067,[324321],[0.7021399555031834],[0.11965603331316332],[0.11092896901105649],[0.02463657934070452],[0.0],[1.0],[0.0036616394082408456]
6000989106,[13761],[0.8721700418474888],[0.1557057363018948],[0.018667829598397884],[0.5482395813778189],[1.0],[7.0],[0.008443363587134167]
6000989124,[58658],[0.5189362493692455],[0.15315530825065696],[0.3167250635819515],[0.1543135254952597],[2.0],[1.0],[0.010147634825970364]
6000989139,[],[],[],[],[],[],[],[]
6000989153,[512197],[0.7848903184859561],[0.28206429868601307],[0.01157127337794063],[0.16974610168298365],[8.0],[2.0],[0.005784385380897113]
6000989184,[531859],[1.0261445952205892],[0.21833442350103266],[0.06085462451430317],[0.07667881570421524],[2.0],[9.0],[0.004944398943808436]
6000989225,[],[],[],[],[],[],[],[]
6000989230,[],[],[],[],[],[],[],[]
6000989235,[443973],[1.1414801166189796],[0.26936693943846346],[0.5746345719536611],[0.634030854541152],[4.0],[7.0],[0.00525541155971072]
6000989243,[303537],[1.2332081357070508],[0.45872302140347315],[0.10679481873347658],[0.5312835980926982],[9.0],[3.0],[0.0031519017838195205]
6000989257,[475546],[0.6653112931585541],[0.24292310520183252],[0.07536025268830043],[0.1416476361619154],[3.0],[3.0],[0.0026466262258255098]
6000989270,[207249],[0.8338191260544686],[0.10390608670105947],[0.019128072364765814],[0.23981122127606147],[1.0],[0.0],[0.003696115571386552]
6000989300,[],[],[],[],[],[],[],[]
6000989328,[304172],[1.1461401060761525],[0.19480807802015185],[0.16613494761233608],[0.14701664052184765],[3.0],[2.0],[0.0047649233298188]
6000989382,[277866],[0.5607872179788108],[0.10059861851662105],[0.34225827202661435],[0.052025061124945184],[0.0],[2.0],[0.0019924537915564752]
6000989410,[],[],[],[],[],[],[],[]
6000989427,[],[],[],[],[],[],[],[]
6000989456,[151069],[0.977575189401232],[0.19652430547148858],[0.05964989760275141],[0.0038337320843879795],[11.0],[10.0],[0.006830115108885862]
6000989494,[361850],[1.1535756796563477],[0.14715811997010933],[0.5207434611849844],[0.5511591547017096],[1.0],[3.0],[0.0045847776378559624]
6000989502,[144326],[0.9440873943261375],[0.159723673010086],[0.03984893402092209],[0.07553795693037209],[3.0],[2.0],[0.0031778155932833314]
6000989516,[126104],[0.8389223425891512],[0.2932323271663158],[0.05175027677687486],[0.30559638265472394],[9.0],[9.0],[0.006365856529392728]
6000989527,[324321],[0.6331784098652605],[0.25221292839612625],[0.13881147275148778],[0.0548621422640275],[2.0],[1.0],[0.0036447480477802196]
